id,Name,tag1,tag2,tag3,tag4,tag5
105,경기여고 경운박물관(서울),"('wood', 0.00439192)","('parking', 0.004386103)","('automotive', 0.0043689017)","('vehicle', 0.0043579508)","('architecture', 0.004355535)"
106,경기중앙교육도서관,"('wood', 0.00439192)","('parking', 0.004386103)","('automotive', 0.0043689017)","('vehicle', 0.0043579508)","('architecture', 0.004355535)"
107,경산문화원,"('wood', 0.00439192)","('parking', 0.004386103)","('automotive', 0.0043689017)","('vehicle', 0.0043579508)","('architecture', 0.004355535)"
108,경상남도 수산자원연구소 민물고기전시관,"('wood', 0.00439192)","('parking', 0.004386103)","('automotive', 0.0043689017)","('vehicle', 0.0043579508)","('architecture', 0.004355535)"
109,경상남도과학교육원,"('wood', 0.039495364)","('ecoregion', 0.033855308)","('architecture', 0.032606564)","('asphalt', 0.0298899)","('tent', 0.028096568)"
110,경상남도문화예술회관,"('wood', 0.00439192)","('parking', 0.004386103)","('automotive', 0.0043689017)","('vehicle', 0.0043579508)","('architecture', 0.004355535)"
111,경상북도 산림과학박물관,"('wood', 0.00439192)","('parking', 0.004386103)","('automotive', 0.0043689017)","('vehicle', 0.0043579508)","('architecture', 0.004355535)"
112,경상북도과학교육원,"('wood', 0.039495364)","('ecoregion', 0.033855308)","('architecture', 0.032606564)","('asphalt', 0.0298899)","('tent', 0.028096568)"
113,경상북도독립운동기념관,"('wood', 0.00439192)","('parking', 0.004386103)","('automotive', 0.0043689017)","('vehicle', 0.0043579508)","('architecture', 0.004355535)"
114,경성대학교 문화홍보처 박물관,"('wood', 0.00439192)","('parking', 0.004386103)","('automotive', 0.0043689017)","('vehicle', 0.0043579508)","('architecture', 0.004355535)"
115,경인미술관,"('wood', 0.00439192)","('parking', 0.004386103)","('automotive', 0.0043689017)","('vehicle', 0.0043579508)","('architecture', 0.004355535)"
116,경주문화원 안강교육장,"('wood', 0.00439192)","('parking', 0.004386103)","('automotive', 0.0043689017)","('vehicle', 0.0043579508)","('architecture', 0.004355535)"
117,경주화백컨벤션센터,"('wood', 0.00439192)","('parking', 0.004386103)","('automotive', 0.0043689017)","('vehicle', 0.0043579508)","('architecture', 0.004355535)"
118,경희대학교 자연사박물관,"('wood', 0.00439192)","('parking', 0.004386103)","('automotive', 0.0043689017)","('vehicle', 0.0043579508)","('architecture', 0.004355535)"
119,경희대학교 중앙박물관,"('wood', 0.039495364)","('ecoregion', 0.033855308)","('architecture', 0.032606564)","('asphalt', 0.0298899)","('tent', 0.028096568)"
120,계룡산자연사박물관,"('wood', 0.00439192)","('parking', 0.004386103)","('automotive', 0.0043689017)","('vehicle', 0.0043579508)","('architecture', 0.004355535)"
121,계명대학교 행소박물관,"('wood', 0.00439192)","('parking', 0.004386103)","('automotive', 0.0043689017)","('vehicle', 0.0043579508)","('architecture', 0.004355535)"
122,계양문화회관,"('wood', 0.00439192)","('parking', 0.004386103)","('automotive', 0.0043689017)","('vehicle', 0.0043579508)","('architecture', 0.004355535)"
123,고남패총박물관,"('wood', 0.00439192)","('parking', 0.004386103)","('automotive', 0.0043689017)","('vehicle', 0.0043579508)","('architecture', 0.004355535)"
124,고려대학교박물관,"('wood', 0.00439192)","('parking', 0.004386103)","('automotive', 0.0043689017)","('vehicle', 0.0043579508)","('architecture', 0.004355535)"
125,고산 윤선도 문학체험공원,"('wood', 0.039495364)","('ecoregion', 0.033855308)","('architecture', 0.032606564)","('asphalt', 0.0298899)","('tent', 0.028096568)"
126,고산유물전시관,"('wood', 0.00439192)","('parking', 0.004386103)","('automotive', 0.0043689017)","('vehicle', 0.0043579508)","('architecture', 0.004355535)"
127,고색뉴지엄,"('wood', 0.039495364)","('ecoregion', 0.033855308)","('architecture', 0.032606564)","('asphalt', 0.0298899)","('tent', 0.028096568)"
128,고성 DMZ박물관,"('wood', 0.00439192)","('parking', 0.004386103)","('automotive', 0.0043689017)","('vehicle', 0.0043579508)","('architecture', 0.004355535)"
129,고성공룡박물관,"('wood', 0.00439192)","('parking', 0.004386103)","('automotive', 0.0043689017)","('vehicle', 0.0043579508)","('architecture', 0.004355535)"
130,고성교육도서관,"('wood', 0.039495364)","('ecoregion', 0.033855308)","('architecture', 0.032606564)","('asphalt', 0.0298899)","('tent', 0.028096568)"
131,고성문화원(경남),"('wood', 0.00439192)","('parking', 0.004386103)","('automotive', 0.0043689017)","('vehicle', 0.0043579508)","('architecture', 0.004355535)"
132,고성문화원,"('wood', 0.00439192)","('parking', 0.004386103)","('automotive', 0.0043689017)","('vehicle', 0.0043579508)","('architecture', 0.004355535)"
133,고성오광대전수회관,"('wood', 0.00439192)","('parking', 0.004386103)","('automotive', 0.0043689017)","('vehicle', 0.0043579508)","('architecture', 0.004355535)"
134,고성자연사박물관,"('wood', 0.00439192)","('parking', 0.004386103)","('automotive', 0.0043689017)","('vehicle', 0.0043579508)","('architecture', 0.004355535)"
135,고성탈박물관,"('wood', 0.00439192)","('parking', 0.004386103)","('automotive', 0.0043689017)","('vehicle', 0.0043579508)","('architecture', 0.004355535)"
136,고신대학교복음병원 의학도서관,"('wood', 0.00439192)","('parking', 0.004386103)","('automotive', 0.0043689017)","('vehicle', 0.0043579508)","('architecture', 0.004355535)"
137,고싸움놀이전수회관,"('wood', 0.00439192)","('parking', 0.004386103)","('automotive', 0.0043689017)","('vehicle', 0.0043579508)","('architecture', 0.004355535)"
138,고양 선인장전시관,"('wood', 0.039495364)","('ecoregion', 0.033855308)","('architecture', 0.032606564)","('asphalt', 0.0298899)","('tent', 0.028096568)"
139,고양 아람누리,"('wood', 0.039495364)","('ecoregion', 0.033855308)","('architecture', 0.032606564)","('asphalt', 0.0298899)","('tent', 0.028096568)"
140,고양 어린이박물관,"('wood', 0.00439192)","('parking', 0.004386103)","('automotive', 0.0043689017)","('vehicle', 0.0043579508)","('architecture', 0.004355535)"
141,고양 어울림누리,"('wood', 0.039495364)","('ecoregion', 0.033855308)","('architecture', 0.032606564)","('asphalt', 0.0298899)","('tent', 0.028096568)"
142,고양 화장실전시관,"('wood', 0.00439192)","('parking', 0.004386103)","('automotive', 0.0043689017)","('vehicle', 0.0043579508)","('architecture', 0.004355535)"
143,고양꽃전시관,"('wood', 0.00439192)","('parking', 0.004386103)","('automotive', 0.0043689017)","('vehicle', 0.0043579508)","('architecture', 0.004355535)"
144,고양문화원,"('wood', 0.00439192)","('parking', 0.004386103)","('automotive', 0.0043689017)","('vehicle', 0.0043579508)","('architecture', 0.004355535)"
145,고양시립 주엽어린이도서관,"('wood', 0.00439192)","('parking', 0.004386103)","('automotive', 0.0043689017)","('vehicle', 0.0043579508)","('architecture', 0.004355535)"
146,고양시문예회관,"('wood', 0.00439192)","('parking', 0.004386103)","('automotive', 0.0043689017)","('vehicle', 0.0043579508)","('architecture', 0.004355535)"
147,고창고인돌박물관,"('wood', 0.00439192)","('parking', 0.004386103)","('automotive', 0.0043689017)","('vehicle', 0.0043579508)","('architecture', 0.004355535)"
148,고창문화원,"('wood', 0.00439192)","('parking', 0.004386103)","('automotive', 0.0043689017)","('vehicle', 0.0043579508)","('architecture', 0.004355535)"
149,고창판소리박물관,"('wood', 0.00439192)","('parking', 0.004386103)","('automotive', 0.0043689017)","('vehicle', 0.0043579508)","('architecture', 0.004355535)"
150,고척 스카이돔,"('wood', 0.039495364)","('ecoregion', 0.033855308)","('architecture', 0.032606564)","('asphalt', 0.0298899)","('tent', 0.028096568)"
151,고흐의정원,"('wood', 0.00439192)","('parking', 0.004386103)","('automotive', 0.0043689017)","('vehicle', 0.0043579508)","('architecture', 0.004355535)"
152,고흥문화원,"('wood', 0.039495364)","('ecoregion', 0.033855308)","('architecture', 0.032606564)","('asphalt', 0.0298899)","('tent', 0.028096568)"
153,고흥분청문화박물관,"('wood', 0.00439192)","('parking', 0.004386103)","('automotive', 0.0043689017)","('vehicle', 0.0043579508)","('architecture', 0.004355535)"
154,고흥우주천문과학관,"('wood', 0.00439192)","('parking', 0.004386103)","('automotive', 0.0043689017)","('vehicle', 0.0043579508)","('architecture', 0.004355535)"
155,곡성레저문화센터,"('wood', 0.00439192)","('parking', 0.004386103)","('automotive', 0.0043689017)","('vehicle', 0.0043579508)","('architecture', 0.004355535)"
156,곡성문화원,"('wood', 0.00439192)","('parking', 0.004386103)","('automotive', 0.0043689017)","('vehicle', 0.0043579508)","('architecture', 0.004355535)"
157,공주민속극박물관,"('wood', 0.00439192)","('parking', 0.004386103)","('automotive', 0.0043689017)","('vehicle', 0.0043579508)","('architecture', 0.004355535)"
158,공주역사영상관,"('wood', 0.00439192)","('parking', 0.004386103)","('automotive', 0.0043689017)","('vehicle', 0.0043579508)","('architecture', 0.004355535)"
159,공지천시민공원 야외공연장,"('wood', 0.00439192)","('parking', 0.004386103)","('automotive', 0.0043689017)","('vehicle', 0.0043579508)","('architecture', 0.004355535)"
160,과천문화원,"('wood', 0.00439192)","('parking', 0.004386103)","('automotive', 0.0043689017)","('vehicle', 0.0043579508)","('architecture', 0.004355535)"
161,관세박물관,"('wood', 0.00439192)","('parking', 0.004386103)","('automotive', 0.0043689017)","('vehicle', 0.0043579508)","('architecture', 0.004355535)"
162,관악문화원,"('wood', 0.00439192)","('parking', 0.004386103)","('automotive', 0.0043689017)","('vehicle', 0.0043579508)","('architecture', 0.004355535)"
163,광나루안전체험관,"('wood', 0.00439192)","('parking', 0.004386103)","('automotive', 0.0043689017)","('vehicle', 0.0043579508)","('architecture', 0.004355535)"
164,광명문화원,"('wood', 0.00439192)","('parking', 0.004386103)","('automotive', 0.0043689017)","('vehicle', 0.0043579508)","('architecture', 0.004355535)"
165,광명업사이클아트센터,"('wood', 0.00439192)","('parking', 0.004386103)","('automotive', 0.0043689017)","('vehicle', 0.0043579508)","('architecture', 0.004355535)"
166,광산문화원,"('wood', 0.00439192)","('parking', 0.004386103)","('automotive', 0.0043689017)","('vehicle', 0.0043579508)","('architecture', 0.004355535)"
167,광양 김시식지,"('wood', 0.00439192)","('parking', 0.004386103)","('automotive', 0.0043689017)","('vehicle', 0.0043579508)","('architecture', 0.004355535)"
168,광양 역사문화관,"('wood', 0.00439192)","('parking', 0.004386103)","('automotive', 0.0043689017)","('vehicle', 0.0043579508)","('architecture', 0.004355535)"
169,광양문화원,"('wood', 0.039495364)","('ecoregion', 0.033855308)","('architecture', 0.032606564)","('asphalt', 0.0298899)","('tent', 0.028096568)"
170,광양예술창고,"('wood', 0.00439192)","('parking', 0.004386103)","('automotive', 0.0043689017)","('vehicle', 0.0043579508)","('architecture', 0.004355535)"
171,광주 남구문화원,"('wood', 0.00439192)","('parking', 0.004386103)","('automotive', 0.0043689017)","('vehicle', 0.0043579508)","('architecture', 0.004355535)"
172,광주 동구문화원,"('wood', 0.00439192)","('parking', 0.004386103)","('automotive', 0.0043689017)","('vehicle', 0.0043579508)","('architecture', 0.004355535)"
173,광주 북구문화원,"('wood', 0.039495364)","('ecoregion', 0.033855308)","('architecture', 0.032606564)","('asphalt', 0.0298899)","('tent', 0.028096568)"
174,광주 송정도서관,"('wood', 0.039495364)","('ecoregion', 0.033855308)","('architecture', 0.032606564)","('asphalt', 0.0298899)","('tent', 0.028096568)"
